payment_id,order_id,customer_id,payment_date,payment_method,amount,status,processor_fee,net_amount,currency,region,category
31,31,151,2023-01-11,Debit Card,5304.61,completed,80.01,5224.6,USD,North,Food
32,32,9,2023-03-14,Bank Transfer,236.66,completed,1.4,235.26,USD,Central,Clothing
33,33,55,2023-05-16,Debit Card,3025.26,completed,45.53,2979.73,USD,Central,Books
34,34,122,2023-07-17,Bank Transfer,2004.48,completed,10.51,1993.97,USD,North,Electronics
35,35,106,2023-02-26,Debit Card,2525.32,completed,38.06,2487.26,USD,North,Electronics
36,36,28,2023-07-16,Debit Card,4751.11,completed,71.5,4679.61,USD,South,Books
37,37,47,2024-04-21,Credit Card,1115.85,completed,32.85,1083.0,USD,South,Electronics
38,38,141,2023-02-23,Bank Transfer,6074.55,completed,30.49,6044.06,USD,Central,Electronics
39,39,61,2024-02-24,Credit Card,1390.65,completed,40.52,1350.13,USD,West,Sports
40,40,16,2024-01-26,Credit Card,3031.0,completed,88.22,2942.78,USD,North,Sports
41,41,117,2024-03-12,Credit Card,4172.67,completed,121.15,4051.52,USD,Central,Food
42,42,76,2023-03-04,Debit Card,1305.92,completed,19.97,1285.95,USD,Central,Food
43,43,81,2023-02-22,Credit Card,633.06,completed,18.65,614.41,USD,Central,Sports
44,44,136,2023-03-02,Debit Card,7821.7,completed,117.79,7703.91,USD,Central,Electronics
45,45,18,2023-09-01,Bank Transfer,233.52,completed,1.32,232.2,USD,West,Electronics
46,46,153,2024-09-29,Credit Card,2410.72,completed,70.34,2340.38,USD,North,Sports
47,47,81,2023-08-01,PayPal,5411.01,completed,184.39,5226.62,USD,East,Clothing
48,48,172,2023-11-06,Bank Transfer,1808.19,completed,9.42,1798.77,USD,West,Home & Garden
49,49,160,2023-04-14,Credit Card,28.83,completed,1.02,27.81,USD,North,Books
50,50,34,2023-03-15,Debit Card,1787.87,completed,27.3,1760.57,USD,South,Home & Garden
51,51,140,2023-11-06,Debit Card,830.8,completed,12.96,817.84,USD,Central,Food
52,52,142,2024-11-11,Credit Card,150.79,completed,4.54,146.25,USD,North,Clothing
53,53,28,2024-07-20,Bank Transfer,559.26,completed,3.03,556.23,USD,South,Home & Garden
54,54,184,2023-07-29,Credit Card,3043.9,completed,88.57,2955.33,USD,East,Books
55,55,14,2024-10-11,Crypto,2068.96,completed,21.1,2047.86,USD,West,Home & Garden
56,56,198,2024-10-14,Debit Card,13.52,completed,0.59,12.93,USD,East,Clothing
57,57,110,2023-01-13,Bank Transfer,4171.2,completed,21.34,4149.86,USD,North,Electronics
58,58,95,2024-07-19,PayPal,1375.35,failed,47.19,0.0,USD,South,Sports
59,59,94,2024-01-02,Credit Card,128.55,completed,4.18,124.37,USD,South,Food
60,60,91,2024-07-29,Bank Transfer,2681.04,completed,13.79,2667.25,USD,West,Books
61,61,61,2023-07-01,PayPal,2316.25,completed,78.91,2237.34,USD,West,Electronics
62,62,86,2024-11-16,Credit Card,2217.6,completed,64.75,2152.85,USD,South,Home & Garden
63,63,28,2023-02-09,Debit Card,2368.5,completed,35.73,2332.77,USD,West,Clothing
64,64,118,2023-11-10,PayPal,2864.47,completed,97.53,2766.94,USD,South,Clothing
65,65,103,2023-10-15,Credit Card,331.72,completed,9.97,321.75,USD,North,Home & Garden
66,66,103,2024-07-06,Credit Card,3870.36,completed,112.66,3757.7,USD,East,Electronics
67,67,67,2024-08-20,Credit Card,1756.52,completed,51.4,1705.12,USD,East,Electronics
68,68,89,2023-11-20,Crypto,1201.2,completed,12.49,1188.71,USD,West,Books
69,69,148,2023-09-18,Debit Card,1058.08,completed,16.01,1042.07,USD,North,Food
70,70,138,2024-11-18,Credit Card,81.76,refunded,2.64,0.0,USD,South,Home & Garden
71,71,171,2024-10-01,Credit Card,554.96,completed,16.55,538.41,USD,East,Food
72,72,77,2023-11-15,Credit Card,1445.12,completed,42.18,1402.94,USD,West,Home & Garden
73,73,142,2023-07-18,Bank Transfer,4551.56,completed,23.15,4528.41,USD,West,Food
74,74,45,2024-08-07,Credit Card,4423.51,completed,128.74,4294.77,USD,East,Sports
75,75,78,2023-08-07,Debit Card,7518.42,completed,113.05,7405.37,USD,West,Books
76,76,120,2024-03-31,Credit Card,6581.6,completed,191.25,6390.35,USD,South,Books
77,77,189,2024-11-08,Bank Transfer,6366.4,completed,32.24,6334.16,USD,North,Home & Garden
78,78,159,2023-04-08,Bank Transfer,5671.37,completed,28.61,5642.76,USD,South,Food
79,79,51,2023-01-28,PayPal,1162.0,completed,39.69,1122.31,USD,North,Clothing
80,80,197,2024-04-13,Debit Card,4921.28,completed,74.22,4847.06,USD,West,Food
81,81,179,2024-05-23,Credit Card,1923.75,completed,55.99,1867.76,USD,West,Clothing
82,82,2,2023-04-20,PayPal,1648.75,completed,56.45,1592.3,USD,West,Clothing
83,83,179,2024-04-22,Bank Transfer,2418.18,completed,12.24,2405.94,USD,North,Books
84,84,32,2023-05-20,PayPal,3673.2,pending,125.11,0.0,USD,West,Food
85,85,153,2024-03-30,PayPal,8398.17,completed,285.96,8112.21,USD,Central,Food
86,86,141,2023-06-13,Crypto,3676.08,completed,37.0,3639.08,USD,West,Sports
87,87,164,2024-06-18,Credit Card,3394.17,completed,98.82,3295.35,USD,West,Food
88,88,20,2023-10-22,Debit Card,1127.44,completed,17.22,1110.22,USD,South,Home & Garden
89,89,139,2023-05-25,Credit Card,1795.86,completed,52.22,1743.64,USD,South,Clothing
90,90,181,2023-03-07,PayPal,4530.63,completed,154.18,4376.45,USD,West,Sports
91,91,107,2023-08-01,Debit Card,3009.49,completed,45.42,2964.07,USD,West,Sports
92,92,6,2024-08-15,Credit Card,8992.7,completed,261.24,8731.46,USD,West,Sports
93,93,77,2024-02-07,Debit Card,471.66,completed,7.45,464.21,USD,West,Books
94,94,57,2023-08-16,Bank Transfer,7216.74,completed,36.51,7180.23,USD,East,Sports
95,95,87,2024-11-29,Credit Card,309.92,completed,9.14,300.78,USD,West,Food
96,96,33,2024-06-30,PayPal,2526.3,completed,86.27,2440.03,USD,North,Sports
97,97,7,2024-10-21,Debit Card,5403.03,completed,81.52,5321.51,USD,West,Clothing
98,98,67,2023-12-05,Credit Card,1424.4,failed,41.45,0.0,USD,South,Sports
99,99,98,2024-03-08,Credit Card,1892.66,completed,55.03,1837.63,USD,East,Electronics
100,100,139,2023-12-27,Credit Card,233.44,completed,7.06,226.38,USD,South,Food
101,101,167,2023-02-04,PayPal,1175.13,completed,40.07,1135.06,USD,South,Clothing
102,102,62,2024-04-30,Bank Transfer,312.56,pending,1.74,0.0,USD,North,Books
103,103,66,2024-01-15,PayPal,1646.33,completed,56.1,1590.23,USD,South,Books
104,104,184,2023-06-19,Credit Card,9641.0,completed,279.92,9361.08,USD,East,Electronics
105,105,80,2024-11-27,Bank Transfer,336.49,completed,2.12,334.37,USD,West,Sports
106,106,177,2023-09-07,PayPal,298.34,completed,10.45,287.89,USD,North,Food
107,107,154,2024-08-05,Debit Card,4259.0,completed,64.04,4194.96,USD,North,Home & Garden
108,108,95,2024-06-05,PayPal,3906.9,completed,133.09,3773.81,USD,East,Electronics
109,109,28,2024-01-06,Bank Transfer,5768.7,completed,29.33,5739.37,USD,West,Food
110,110,188,2024-10-28,Bank Transfer,1102.85,completed,5.96,1096.89,USD,East,Books
111,111,120,2024-08-31,PayPal,6992.1,completed,238.06,6754.04,USD,East,Home & Garden
112,112,23,2024-04-07,Credit Card,3329.68,completed,97.04,3232.64,USD,South,Sports
113,113,98,2023-01-31,Debit Card,5835.09,completed,87.93,5747.16,USD,West,Home & Garden
114,114,91,2023-12-16,Debit Card,1478.04,completed,22.66,1455.38,USD,East,Books
115,115,133,2023-04-01,Credit Card,2521.08,completed,73.25,2447.83,USD,South,Food
116,116,195,2024-12-08,Debit Card,3455.9,completed,52.14,3403.76,USD,West,Food
117,117,5,2023-10-30,Bank Transfer,3629.6,completed,18.41,3611.19,USD,South,Sports
118,118,149,2024-05-01,Bank Transfer,1252.56,completed,6.4,1246.16,USD,Central,Books
119,119,191,2023-12-07,Crypto,2587.44,completed,26.03,2561.41,USD,East,Food
120,120,65,2023-05-06,Credit Card,2086.5,completed,60.99,2025.51,USD,South,Home & Garden
121,121,196,2023-07-11,PayPal,1490.92,completed,50.86,1440.06,USD,South,Clothing
122,122,151,2024-06-21,PayPal,2269.92,completed,77.41,2192.51,USD,Central,Home & Garden
123,123,76,2024-01-08,Credit Card,1668.6,completed,48.87,1619.73,USD,South,Home & Garden
124,124,33,2023-02-17,Bank Transfer,355.47,completed,2.18,353.29,USD,North,Books
125,125,33,2024-05-20,Debit Card,3502.2,completed,53.01,3449.19,USD,North,Electronics
126,126,123,2023-12-18,Credit Card,2769.25,completed,80.43,2688.82,USD,South,Electronics
127,127,123,2023-03-08,Credit Card,4237.47,completed,123.09,4114.38,USD,West,Sports
128,128,176,2023-06-06,Crypto,871.89,completed,9.12,862.77,USD,South,Books
129,129,64,2024-07-28,Debit Card,471.6,completed,7.35,464.25,USD,West,Books
130,130,58,2024-06-20,Bank Transfer,7928.4,completed,39.89,7888.51,USD,West,Sports
131,131,151,2023-11-12,Crypto,2282.85,completed,23.31,2259.54,USD,Central,Books
132,132,190,2023-08-04,Debit Card,613.54,completed,9.69,603.85,USD,South,Home & Garden
133,133,45,2023-03-19,Debit Card,248.22,completed,3.82,244.4,USD,South,Electronics
134,134,153,2023-10-28,Bank Transfer,3192.0,completed,16.4,3175.6,USD,North,Clothing
135,135,180,2023-03-15,Credit Card,3549.4,completed,103.27,3446.13,USD,South,Home & Garden
136,136,51,2023-04-28,Debit Card,6313.51,completed,94.92,6218.59,USD,Central,Clothing
137,137,37,2023-03-04,Credit Card,2273.3,completed,66.32,2206.98,USD,South,Home & Garden
138,138,146,2024-03-26,Crypto,7514.6,pending,75.49,0.0,USD,North,Sports
139,139,70,2024-07-08,Crypto,3513.7,completed,35.49,3478.21,USD,West,Sports
140,140,111,2023-11-29,Crypto,903.09,completed,9.23,893.86,USD,Central,Home & Garden
141,141,173,2024-08-27,Crypto,50.21,completed,0.99,49.22,USD,North,Food
142,142,196,2023-06-30,Credit Card,2612.16,completed,76.11,2536.05,USD,West,Books
143,143,47,2024-03-22,Credit Card,6876.9,completed,199.8,6677.1,USD,West,Electronics
144,144,86,2024-11-20,Credit Card,2835.84,completed,82.64,2753.2,USD,North,Clothing
145,145,127,2024-11-09,Debit Card,2296.36,completed,34.76,2261.6,USD,West,Books
146,146,81,2023-12-01,Bank Transfer,460.28,completed,2.67,457.61,USD,North,Sports
147,147,1,2024-07-11,Credit Card,7026.78,completed,204.03,6822.75,USD,West,Sports
148,148,93,2024-05-25,PayPal,195.7,completed,6.8,188.9,USD,West,Electronics
149,149,34,2024-03-24,Credit Card,960.33,completed,28.04,932.29,USD,West,Electronics
150,150,156,2024-12-29,Credit Card,486.71,completed,14.29,472.42,USD,South,Home & Garden
151,151,105,2023-08-20,PayPal,211.86,completed,7.4,204.46,USD,North,Sports
152,152,40,2023-10-28,Debit Card,1302.48,completed,19.83,1282.65,USD,Central,Food
153,153,124,2023-09-07,PayPal,1896.03,completed,64.64,1831.39,USD,West,Books
154,154,154,2023-05-22,PayPal,974.4,completed,33.46,940.94,USD,North,Home & Garden
155,155,130,2023-01-04,Debit Card,2425.36,completed,36.51,2388.85,USD,East,Food
156,156,149,2024-05-18,Credit Card,4195.5,completed,122.14,4073.36,USD,South,Sports
157,157,86,2024-07-12,Bank Transfer,4405.5,pending,22.2,0.0,USD,West,Sports
158,158,179,2024-08-10,PayPal,4789.95,refunded,163.23,0.0,USD,West,Clothing
159,159,191,2024-12-26,Bank Transfer,372.54,completed,2.22,370.32,USD,West,Sports
160,160,10,2024-05-31,Bank Transfer,1250.95,completed,6.53,1244.42,USD,Central,Home & Garden
161,161,113,2024-06-25,Crypto,1750.88,completed,17.81,1733.07,USD,West,Electronics
162,162,168,2023-03-19,Debit Card,1039.7,completed,15.71,1023.99,USD,West,Home & Garden
163,163,102,2023-03-26,Bank Transfer,3448.61,completed,17.35,3431.26,USD,East,Food
164,164,82,2024-05-14,Credit Card,3475.8,completed,101.29,3374.51,USD,Central,Electronics
165,165,162,2023-10-22,Credit Card,777.4,completed,23.01,754.39,USD,South,Food
166,166,26,2024-10-10,Credit Card,659.46,completed,19.47,639.99,USD,North,Sports
167,167,8,2023-11-29,Credit Card,2091.18,completed,60.98,2030.2,USD,North,Home & Garden
168,168,38,2024-06-29,Debit Card,2286.6,completed,34.5,2252.1,USD,West,Books
169,169,21,2024-01-27,Debit Card,534.84,failed,8.45,0.0,USD,Central,Food
170,170,150,2023-08-26,Debit Card,2010.8,completed,30.57,1980.23,USD,West,Food
171,171,171,2024-04-24,Debit Card,2092.41,completed,31.72,2060.69,USD,East,Food
172,172,114,2024-08-24,Credit Card,1497.6,completed,43.68,1453.92,USD,East,Food
173,173,117,2023-07-24,Bank Transfer,4853.94,completed,24.39,4829.55,USD,West,Sports
174,174,147,2024-08-14,PayPal,489.68,completed,16.78,472.9,USD,East,Food
175,175,169,2023-10-11,PayPal,158.6,completed,5.83,152.77,USD,North,Books
176,176,191,2023-10-24,Credit Card,911.52,completed,26.63,884.89,USD,South,Books
177,177,49,2023-09-14,Debit Card,1360.92,completed,20.7,1340.22,USD,South,Food
178,178,166,2023-11-13,Debit Card,1808.72,completed,27.37,1781.35,USD,West,Electronics
179,179,34,2023-11-02,Bank Transfer,3526.59,completed,17.94,3508.65,USD,East,Food
180,180,34,2024-01-10,Debit Card,1287.16,completed,19.65,1267.51,USD,Central,Books
181,181,66,2023-10-31,Credit Card,3744.72,completed,109.06,3635.66,USD,East,Electronics
182,182,37,2023-08-22,Credit Card,7224.45,completed,209.78,7014.67,USD,West,Books
183,183,102,2023-09-29,PayPal,596.4,completed,20.43,575.97,USD,Central,Electronics
184,184,192,2023-09-29,Credit Card,2811.75,completed,81.85,2729.9,USD,Central,Sports
185,185,60,2023-01-27,Debit Card,703.56,completed,10.71,692.85,USD,Central,Books
186,186,57,2023-03-08,Credit Card,5038.55,completed,146.61,4891.94,USD,West,Food
187,187,30,2023-02-17,Debit Card,3263.7,completed,49.08,3214.62,USD,North,Home & Garden
188,188,61,2023-05-19,Debit Card,999.68,completed,15.26,984.42,USD,West,Sports
189,189,191,2024-07-08,Credit Card,4042.68,completed,117.65,3925.03,USD,West,Books
190,190,168,2024-05-19,Credit Card,2216.4,completed,64.62,2151.78,USD,Central,Sports
191,191,95,2024-04-01,Credit Card,190.71,completed,5.88,184.83,USD,West,Clothing
192,192,176,2024-07-14,Credit Card,650.16,completed,19.31,630.85,USD,East,Electronics
193,193,32,2023-04-04,Bank Transfer,1840.28,completed,9.56,1830.72,USD,South,Food
194,194,13,2023-09-08,PayPal,9713.8,completed,330.46,9383.34,USD,South,Books
195,195,196,2023-08-03,PayPal,272.72,pending,9.7,0.0,USD,Central,Clothing
196,196,38,2023-01-03,Credit Card,1341.12,completed,39.14,1301.98,USD,East,Clothing
197,197,45,2024-11-07,Credit Card,1362.05,completed,39.66,1322.39,USD,North,Clothing
198,198,61,2023-11-30,Debit Card,182.33,completed,2.85,179.48,USD,North,Clothing
199,199,190,2024-06-23,Credit Card,278.46,completed,8.26,270.2,USD,North,Food
200,200,200,2024-06-10,Credit Card,722.22,completed,21.12,701.1,USD,Central,Electronics
201,201,158,2024-11-05,Credit Card,3816.0,completed,110.77,3705.23,USD,Central,Home & Garden
202,202,8,2024-05-05,PayPal,4851.75,completed,165.19,4686.56,USD,West,Sports
203,203,114,2023-03-26,Credit Card,990.72,completed,29.15,961.57,USD,East,Books
204,204,71,2024-10-13,PayPal,187.55,pending,6.83,0.0,USD,Central,Books
205,205,153,2023-10-30,Credit Card,2129.05,completed,62.16,2066.89,USD,West,Books
206,206,180,2024-11-03,Credit Card,4359.0,completed,126.64,4232.36,USD,Central,Food
207,207,59,2023-12-14,Debit Card,1525.16,completed,23.28,1501.88,USD,West,Sports
208,208,81,2023-11-19,Debit Card,5126.24,completed,77.31,5048.93,USD,East,Home & Garden
209,209,122,2023-04-06,Credit Card,1724.9,completed,50.47,1674.43,USD,North,Electronics
210,210,190,2023-05-17,Bank Transfer,739.2,failed,3.88,0.0,USD,Central,Electronics
211,211,144,2024-11-17,Credit Card,9092.07,completed,263.84,8828.23,USD,North,Sports
212,212,193,2023-02-24,Credit Card,5249.28,completed,152.53,5096.75,USD,East,Books
213,213,148,2023-08-08,Debit Card,1790.6,completed,27.17,1763.43,USD,South,Food
214,214,28,2024-07-26,Debit Card,1856.0,failed,28.05,0.0,USD,East,Electronics
215,215,110,2024-09-28,Credit Card,2602.62,pending,75.66,0.0,USD,Central,Food
216,216,169,2023-10-02,Bank Transfer,324.0,completed,1.88,322.12,USD,North,Clothing
217,217,80,2023-12-27,Credit Card,3175.56,completed,92.57,3082.99,USD,North,Clothing
218,218,103,2023-05-27,Credit Card,1426.65,completed,41.77,1384.88,USD,North,Electronics
219,219,108,2023-12-17,Credit Card,1895.33,completed,55.3,1840.03,USD,South,Home & Garden
220,220,199,2024-09-05,Debit Card,3621.9,completed,54.61,3567.29,USD,North,Electronics
221,221,159,2024-11-24,Debit Card,414.6,completed,6.45,408.15,USD,North,Home & Garden
222,222,125,2024-03-29,Credit Card,4989.9,completed,144.91,4844.99,USD,West,Home & Garden
223,223,30,2024-03-18,Credit Card,2650.9,completed,77.31,2573.59,USD,North,Home & Garden
224,224,171,2023-02-18,Debit Card,4671.72,completed,70.55,4601.17,USD,South,Sports
225,225,53,2023-08-05,Credit Card,642.4,completed,18.95,623.45,USD,South,Home & Garden
226,226,2,2024-03-18,Credit Card,1674.2,completed,48.77,1625.43,USD,South,Clothing
227,227,59,2024-07-28,PayPal,3492.19,completed,118.91,3373.28,USD,East,Electronics
228,228,11,2023-01-22,Debit Card,5610.41,completed,84.26,5526.15,USD,West,Electronics
229,229,147,2024-12-30,Credit Card,3190.0,completed,92.99,3097.01,USD,West,Home & Garden
230,230,84,2024-09-24,PayPal,821.96,completed,28.24,793.72,USD,West,Food
231,231,28,2024-03-23,Debit Card,583.44,completed,9.2,574.24,USD,Central,Sports
232,232,80,2023-12-15,Credit Card,746.81,completed,21.95,724.86,USD,South,Home & Garden
233,233,163,2024-06-30,Debit Card,256.86,completed,4.24,252.62,USD,Central,Clothing
234,234,166,2023-09-01,Debit Card,2145.48,completed,32.62,2112.86,USD,North,Clothing
235,235,155,2024-11-05,Debit Card,923.85,failed,14.04,0.0,USD,North,Clothing
236,236,145,2024-08-18,Debit Card,3754.56,completed,56.47,3698.09,USD,West,Food
237,237,160,2024-10-04,Bank Transfer,6142.32,completed,31.01,6111.31,USD,East,Clothing
238,238,114,2023-11-08,Debit Card,582.0,completed,9.0,573.0,USD,East,Books
239,239,19,2024-04-19,PayPal,358.42,completed,12.42,346.0,USD,West,Electronics
240,240,74,2024-10-23,Credit Card,375.06,completed,11.04,364.02,USD,North,Books
241,241,119,2024-07-24,Crypto,5120.0,completed,51.69,5068.31,USD,North,Sports
242,242,83,2024-05-05,Credit Card,6225.54,completed,180.72,6044.82,USD,Central,Clothing
243,243,88,2023-03-31,Credit Card,456.02,completed,13.58,442.44,USD,Central,Food
244,244,182,2024-03-26,Credit Card,146.28,completed,4.35,141.93,USD,Central,Books
245,245,96,2024-02-02,PayPal,1671.6,completed,57.01,1614.59,USD,West,Home & Garden
246,246,162,2023-12-10,Bank Transfer,618.4,completed,3.29,615.11,USD,North,Home & Garden
247,247,99,2023-09-16,Debit Card,1124.76,completed,17.12,1107.64,USD,Central,Clothing
248,248,170,2023-12-28,Credit Card,498.74,completed,14.72,484.02,USD,East,Food
249,249,182,2023-11-17,Crypto,894.79,completed,9.24,885.55,USD,Central,Sports
250,250,172,2024-12-03,Credit Card,4482.83,failed,130.15,0.0,USD,Central,Electronics
251,251,5,2023-11-16,Credit Card,3593.8,completed,104.38,3489.42,USD,South,Clothing
252,252,125,2023-08-21,Debit Card,5215.1,completed,78.53,5136.57,USD,South,Clothing
253,253,26,2024-07-06,PayPal,454.26,completed,15.94,438.32,USD,Central,Electronics
254,254,159,2024-09-04,Debit Card,4826.91,completed,72.71,4754.2,USD,West,Clothing
255,255,178,2024-10-04,Bank Transfer,567.12,pending,3.12,0.0,USD,South,Food
256,256,94,2023-09-04,Credit Card,399.45,completed,11.82,387.63,USD,West,Books
257,257,115,2024-07-03,Bank Transfer,3774.3,completed,19.22,3755.08,USD,South,Home & Garden
258,258,50,2024-11-26,PayPal,7239.52,completed,246.32,6993.2,USD,Central,Sports
259,259,200,2024-06-01,Debit Card,5788.05,completed,87.29,5700.76,USD,Central,Sports
260,260,155,2023-09-17,Credit Card,2456.16,completed,71.61,2384.55,USD,North,Food
261,261,142,2024-12-30,Credit Card,7003.04,completed,203.3,6799.74,USD,Central,Electronics
262,262,42,2024-04-05,Debit Card,465.2,completed,7.36,457.84,USD,Central,Clothing
263,263,57,2023-12-27,PayPal,705.6,completed,24.25,681.35,USD,North,Sports
264,264,96,2024-02-02,PayPal,402.48,completed,13.81,388.67,USD,North,Home & Garden
265,265,26,2024-10-29,Credit Card,151.6,completed,4.66,146.94,USD,East,Clothing
266,266,121,2023-05-23,Credit Card,119.8,completed,3.76,116.04,USD,West,Sports
267,267,21,2023-09-23,Credit Card,152.0,completed,4.66,147.34,USD,South,Clothing
268,268,156,2024-03-12,PayPal,8467.38,completed,288.01,8179.37,USD,North,Home & Garden
269,269,13,2024-03-06,Credit Card,1232.56,completed,35.98,1196.58,USD,Central,Sports
270,270,128,2024-07-02,PayPal,179.61,completed,6.24,173.37,USD,North,Food
271,271,184,2023-10-29,Debit Card,4924.05,completed,74.02,4850.03,USD,West,Electronics
272,272,147,2023-07-12,PayPal,3592.8,completed,122.59,3470.21,USD,North,Books
273,273,135,2024-06-03,Debit Card,462.0,completed,7.24,454.76,USD,Central,Books
274,274,121,2024-10-12,Credit Card,198.27,completed,6.12,192.15,USD,West,Home & Garden
275,275,92,2023-12-21,Credit Card,3374.28,completed,98.24,3276.04,USD,South,Food
276,276,189,2023-12-10,Bank Transfer,1547.56,completed,8.12,1539.44,USD,South,Electronics
277,277,165,2024-12-02,PayPal,3303.36,completed,112.57,3190.79,USD,West,Food
278,278,35,2024-04-13,Credit Card,5083.36,completed,147.54,4935.82,USD,North,Home & Garden
279,279,52,2023-11-21,Credit Card,186.76,completed,5.67,181.09,USD,East,Books
280,280,140,2023-09-20,Credit Card,6430.06,completed,186.58,6243.48,USD,North,Food
281,281,200,2024-11-02,Credit Card,1026.34,completed,29.95,996.39,USD,East,Home & Garden
282,282,112,2024-03-27,Bank Transfer,1602.68,completed,8.4,1594.28,USD,West,Home & Garden
283,283,128,2024-06-17,Credit Card,1503.72,completed,43.84,1459.88,USD,East,Electronics
284,284,155,2024-07-15,Debit Card,616.98,completed,9.73,607.25,USD,East,Home & Garden
285,285,170,2023-11-12,Credit Card,178.52,completed,5.41,173.11,USD,West,Books
286,286,114,2024-04-02,Credit Card,1224.86,completed,35.78,1189.08,USD,North,Food
287,287,112,2024-10-18,Debit Card,3712.2,completed,56.04,3656.16,USD,North,Electronics
288,288,192,2023-06-14,Credit Card,2402.92,completed,69.95,2332.97,USD,North,Clothing
289,289,113,2023-05-10,PayPal,6813.0,completed,232.03,6580.97,USD,North,Clothing
290,290,146,2024-09-12,PayPal,2211.12,completed,75.38,2135.74,USD,South,Food
291,291,96,2023-03-23,Credit Card,7120.05,completed,206.85,6913.2,USD,Central,Clothing
292,292,81,2023-10-15,Crypto,3172.88,completed,31.9,3140.98,USD,South,Electronics
293,293,128,2024-02-04,PayPal,369.16,completed,12.68,356.48,USD,Central,Electronics
294,294,181,2023-08-11,Credit Card,3497.49,completed,101.68,3395.81,USD,Central,Home & Garden
295,295,35,2024-04-07,Debit Card,1665.44,completed,25.17,1640.27,USD,South,Food
296,296,175,2024-11-16,Debit Card,7479.6,completed,112.39,7367.21,USD,East,Food
297,297,75,2023-06-11,Debit Card,831.75,completed,12.6,819.15,USD,South,Home & Garden
298,298,52,2023-09-01,Credit Card,1972.0,completed,57.44,1914.56,USD,West,Electronics
299,299,95,2024-07-21,Debit Card,3350.88,completed,50.66,3300.22,USD,South,Books
300,300,102,2024-05-05,Credit Card,112.65,completed,3.58,109.07,USD,Central,Sports
301,301,19,2023-11-23,Crypto,5775.7,completed,58.16,5717.54,USD,North,Sports
302,302,89,2024-07-20,Credit Card,5124.75,completed,148.81,4975.94,USD,Central,Clothing
303,303,15,2024-06-15,Debit Card,1095.75,pending,16.86,0.0,USD,South,Home & Garden
304,304,182,2023-12-24,PayPal,511.02,completed,17.68,493.34,USD,Central,Home & Garden
305,305,163,2023-10-09,Credit Card,387.15,completed,11.68,375.47,USD,South,Food
306,306,24,2024-10-19,Credit Card,3091.4,completed,90.13,3001.27,USD,South,Books
307,307,169,2024-09-12,Credit Card,1545.27,completed,45.01,1500.26,USD,East,Books
308,308,8,2023-02-18,Credit Card,826.98,completed,24.15,802.83,USD,Central,Home & Garden
